drilling_id;drilling_ini_id;x_lat;y_lon;epsg;zs_m;date_zs;glacier_name;rgi_id
2;2;947994.5075;2105054.455;27572;3172.414;08/07/2010;Tete Rousse;G006819E45856N
4;4;947927.3195;2105049.74;27572;3158.317;08/07/2010;Tete Rousse;G006819E45856N
5;5;948019.5137;2105027.943;27572;3177.150;08/07/2010;Tete Rousse;G006819E45856N
10;10;948050.6787;2105008.754;27572;3182.034;08/07/2010;Tete Rousse;G006819E45856N
13;13;947962.6118;2105052.789;27572;3165.342;08/07/2010;Tete Rousse;G006819E45856N
17;17;948143.1283;2105018.4;27572;3206.436;08/07/2010;Tete Rousse;G006819E45856N
18;18;947877.9994;2105062.178;27572;3138.059;08/07/2010;Tete Rousse;G006819E45856N
70;70;948080.476;2105042.552;27572;3189.346;06/11/2015;Tete Rousse;G006819E45856N
71;71;948067.5604;2105070.849;27572;3188.739;06/11/2015;Tete Rousse;G006819E45856N
72;17;948135.8666;2105039.779;27572;3205.465;06/11/2015;Tete Rousse;G006819E45856N
2201;18;947878.325;2105061.382;27572;3134.253;13/07/2022;Tete Rousse;G006819E45856N
2202;4;947928.286;2105050.534;27572;3149.600;11/07/2022;Tete Rousse;G006819E45856N
2203;13;947962.687;2105052.894;27572;3158.877;10/07/2022;Tete Rousse;G006819E45856N
2204;2;948007.568;2105047.296;27572;3169.811;13/07/2022;Tete Rousse;G006819E45856N
2205;5;948019.836;2105027.984;27572;3173.692;07/07/2022;Tete Rousse;G006819E45856N
2206;10;948051.002;2105008.716;27572;3178.982;07/07/2022;Tete Rousse;G006819E45856N
2207;71;948051.23;2105077.152;27572;3180.783;07/07/2022;Tete Rousse;G006819E45856N
2208;70;948080.949;2105042.286;27572;3185.906;06/07/2022;Tete Rousse;G006819E45856N
2209;2209;948109.777;2105067.609;27572;3195.312;06/07/2022;Tete Rousse;G006819E45856N
2210;17;948143.086;2105019.322;27572;3200.716;06/07/2022;Tete Rousse;G006819E45856N